body_condition,mechanical_condition,body_type,no_of_cylinders,horsepower,year,Mileage,Price_USD
10,10,SUV,4,350,2020,21124.2,42191
10,10,SUV,4,250,2018,27958.5,53079
10,10,Hard Top Convertible,6,350,2005,111834,8166
10,10,Sedan,4,250,2013,127801.41,5444
10,10,SUV,8,350,2015,83875.5,31847.4
10,10,SUV,4,175,2020,20439.5274,70772
10,10,SUV,6,250,2014,83875.5,21503.8
10,10,Wagon,4,250,2018,62155.4733,19053.7278
10,10,Hatchback,4,250,2015,27150.81,12221.78
10,10,SUV,6,350,2020,40384.5,34841.6
10,10,SUV,6,250,2020,11804.7,43279.8
10,10,Sedan,8,450,2018,37299.7455,81632.78
10,10,Hatchback,4,175,2016,42248.4,19843.38
10,10,SUV,8,350,2021,23609.4,66689
10,10,SUV,8,350,2011,90088.5,10888
10,10,Pick Up Truck,8,250,2013,117425.7,14971
10,10,Sedan,8,450,2015,83875.5,37835.8
10,10,Sedan,4,125,2015,64052.9235,5716.2
10,10,Sedan,4,175,2019,51692.16,10751.9
10,10,SUV,4,250,2016,93195,21503.8
10,10,Coupe,6,250,2009,68343,18917.9
10,10,SUV,6,350,2019,55295.7,29125.4
10,10,Sedan,6,250,2017,43282.2432,22293.18
10,10,SUV,6,350,2018,63372.6,49812.6
10,10,SUV,8,450,2018,68959.3296,46791.18
10,10,Coupe,4,175,2016,12426,35113.8
6,10,Sedan,8,250,2005,136686,5988.4
10,10,SUV,6,250,2021,7781.7825,36474.8
10,10,SUV,6,350,2013,74556,14971
10,10,SUV,8,350,2013,49971.159,25859
10,10,Sedan,8,450,2015,90709.8,21503.8
10,10,Sedan,3,175,2018,11804.7,32119.6
10,10,SUV,6,250,2014,80754.7101,9254.8
10,10,SUV,6,250,2019,18998.7327,20142.8
10,10,SUV,4,175,2016,38236.0446,9254.8
10,10,Sedan,4,125,2016,105621,10329.99
6,8,Sedan,4,250,2013,132958.2,6260.6
10,10,Sedan,4,250,2021,0,94997.8
10,10,Soft Top Convertible,4,250,2017,49704,50084.8
10,10,Sedan,6,350,2016,56538.3,30758.6
10,10,Sedan,4,125,2017,47093.9187,11132.98
10,10,Sedan,4,175,2019,41627.1,21748.78
10,10,SUV,8,350,2015,42007.9569,26947.8
10,10,Sedan,4,175,2020,19400.7138,35086.58
10,10,Sedan,4,175,2019,25100.52,43524.78
10,10,Sedan,4,250,2018,34390.1976,21775.7278
10,10,Coupe,6,250,2016,50325.3,11568.5
10,10,SUV,6,350,2018,54053.1,48996
10,10,SUV,6,250,2012,134251.7466,6260.6
10,10,SUV,8,450,2021,3106.5,81115.6
10,10,Sedan,4,175,2009,91952.4,6777.78
10,10,SUV,6,350,2019,58402.2,73466.78
10,10,Coupe,6,350,2017,38439.831,25586.8
10,10,SUV,6,175,2017,34467.2388,17420.8
10,10,Van,4,250,2018,67100.4,21912.1
10,10,SUV,6,250,2020,0,63967
10,10,SUV,8,250,2013,77041.2,10615.8
10,10,SUV,6,250,2014,102514.5,22864.8
10,10,Sedan,6,350,2018,15189.5424,43279.8
10,10,SUV,6,250,2015,66479.1,28036.6
10,10,Sedan,4,175,2016,111212.7,9935.3
10,10,SUV,6,350,2014,65467.6236,19026.78
10,10,Pick Up Truck,4,250,2017,13047.3,24498
10,10,SUV,8,125,2006,102514.5,5988.4
10,10,Sedan,4,250,2018,79526.4,33181.18
10,10,SUV,6,350,2015,77041.2,32664
10,10,Sedan,6,250,2012,92235.7128,14971
10,10,SUV,6,350,2014,170857.5,9799.2
10,10,Hatchback,6,350,2014,77662.5,15515.4
4,5,SUV,8,450,2014,47529.45,29669.8
10,10,Hatchback,4,125,2019,37532.1117,9499.78
10,10,Sedan,6,350,2014,59644.8,15243.2
10,10,SUV,6,350,2019,21839.3163,74854.7278
10,10,Pick Up Truck,6,250,2021,0,35386
10,10,SUV,6,250,2021,0,37835.8
10,10,SUV,4,175,2017,43801.65,19026.78
10,10,SUV,6,250,2018,11183.4,39469
10,10,SUV,6,350,2018,26945.781,54440
10,10,Sedan,4,250,2017,58205.8692,31302.7278
10,10,Sedan,4,125,2015,129748.5642,8029.9
10,10,Pick Up Truck,6,250,2020,15532.5,54167.8
10,10,Sedan,6,350,2020,26094.6,96631
7,10,SUV,6,250,2016,86.982,12249
10,10,Sedan,4,175,2015,96736.41,23681.4
10,10,Sedan,4,175,2018,54674.4,12521.2
10,10,Pick Up Truck,8,350,2015,95019.1368,23137
10,10,Coupe,4,250,2012,67121.5242,12521.2
10,10,Coupe,8,250,2009,59023.5,18781.8
10,10,Sedan,4,175,2019,37899.3,15787.6
10,10,SUV,6,250,2015,72070.8,25586.8
10,10,SUV,4,250,2017,45945.135,12112.9
10,10,Sedan,4,350,2019,74556,21231.6
10,10,Sedan,4,125,2017,42746.0613,11677.38
10,10,SUV,6,350,2018,13047.3,32800.1
10,10,SUV,8,450,2021,0,84382
10,10,Sports Car,8,450,2014,87603.3,25859
10,10,Van,6,350,2016,33569.4603,16332
10,10,Pick Up Truck,8,750,2021,7952.64,108607.8
10,10,Sedan,8,350,1987,37278,18781.8
10,10,Sedan,4,250,2018,62626.4187,37835.8
10,10,Sedan,6,350,2004,61508.7,4763.5
10,10,Pick Up Truck,8,350,2004,98786.7,7621.6
10,10,SUV,8,450,2021,2376.4725,100686.78
10,10,SUV,4,250,2021,0,83837.6
10,10,SUV,6,350,2017,45354.9,14426.6
10,10,Sedan,4,175,2016,42248.4,12861.45
10,10,Crossover,6,250,2013,82685.0892,19026.78
10,10,Sedan,4,250,2015,22989.9639,8165.7278
10,10,Sedan,4,175,2018,55917,37563.6
10,10,Sedan,4,250,2016,44112.3,32119.6
10,10,SUV,8,350,2016,53680.32,45607.11
10,10,Coupe,8,350,2014,36656.7,46001.8
10,10,SUV,6,350,1991,59023.5,7757.7
10,10,SUV,6,350,2015,96927.7704,13473.9
10,10,SUV,4,175,2014,154915.5633,4899.6
10,10,Sedan,6,350,2017,82011.6,43007.6
10,10,SUV,4,250,2021,4846.7613,81632.78
10,10,SUV,8,450,2018,68964.3,31303
10,10,SUV,6,350,2016,141296.6673,34841.6
10,10,Sedan,8,250,2015,32307.6,42191
10,10,Sedan,6,250,2012,107360.0187,16876.4
10,10,SUV,8,350,2020,24230.7,74855
6,10,Sedan,6,250,2013,73934.7,16332
10,10,Coupe,5,175,2012,94437.6,8029.9
10,10,SUV,4,175,2017,62751.3,8982.6
10,10,Sedan,4,125,2015,55917,10343.6
